SAMEA2621155_1668496_7	45351.NEMVEDRAFT_v1g158601-PA	2.1e-243	805.3	ACSS3	GO:0003674,GO:0003824,GO:0003987,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0008150,GO:0008152,GO:0016405,GO:0016874,GO:0016877,GO:0016878,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	K01908		meNOG[21]	0V4QZ@meNOG,12NC2@opiNOG,COG0365@NOG,KOG1175@euNOG	KOG1175|6.18520754305e-207|693.487243652	I	synthetase
SAMEA2621155_2236281_3	45351.NEMVEDRAFT_v1g158601-PA	3.6e-238	788.0	ACSS3	GO:0003674,GO:0003824,GO:0003987,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0008150,GO:0008152,GO:0016405,GO:0016874,GO:0016877,GO:0016878,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	K01908		meNOG[21]	0V4QZ@meNOG,12NC2@opiNOG,COG0365@NOG,KOG1175@euNOG	KOG1175|1.65373301662e-208|698.562438965	I	synthetase
SAMEA2621155_98458_12	3711.Bra009499.1-P	6.1e-109	359.2		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0030529,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0048500,GO:0080085	K03106		virNOG[6]	0C2B8@braNOG,1BK4W@strNOG,1DY1S@virNOG,COG0541@NOG,KOG0780@euNOG	KOG0780|4.32932515318e-121|409.672393799	U	Signal recognition particle
SAMEA2591098_31178_22	34740.HMEL010504-PA	2.3e-239	788.7		GO:0002165,GO:0003674,GO:0003824,GO:0006629,GO:0007275,GO:0008150,GO:0008152,GO:0008202,GO:0009791,GO:0009987,GO:0010817,GO:0016491,GO:0032501,GO:0032502,GO:0034754,GO:0042180,GO:0042445,GO:0044237,GO:0044238,GO:0044281,GO:0044699,GO:0044707,GO:0044710,GO:0045455,GO:0055114,GO:0065007,GO:0065008,GO:0071704,GO:1901360			artNOG[6]	0341M@artNOG,0A109@biNOG,0SSUJ@inNOG,0TEVJ@lepNOG,0V5FT@meNOG,12S4K@opiNOG,COG2303@NOG,KOG1238@euNOG	0A109|4.30732999539e-199|668.172424316	A	Dehydrogenase
SAMEA2622568_61469_1	45351.NEMVEDRAFT_v1g158601-PA	3.1e-195	645.6	ACSS3	GO:0003674,GO:0003824,GO:0003987,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0008150,GO:0008152,GO:0016405,GO:0016874,GO:0016877,GO:0016878,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	K01908		meNOG[21]	0V4QZ@meNOG,12NC2@opiNOG,COG0365@NOG,KOG1175@euNOG	KOG1175|1.89567933789e-167|562.612121582	I	synthetase
SAMEA2620855_847055_11	135651.CBN08591	7.8e-33	109.7					nemNOG[3]	09UI8@biNOG,0EDZM@chrNOG,0V5HI@meNOG,0X9TN@nemNOG,12NSC@opiNOG,18JSC@rhaNOG,COG1073@NOG,KOG1552@euNOG	KOG1552|1.58122417806e-43|151.922576904	O	Family with sequence similarity 108, member
SAMEA2622478_1156587_3	6945.ISCW016740-PA	2.3e-125	406.2					meNOG[21]	0JAVW@euNOG,0VRR6@meNOG,143YV@opiNOG,COG0608@NOG	0JAVW|8.34821367831e-134|450.786651611	L	DHH family
SAMEA2622478_2884049_8	45351.NEMVEDRAFT_v1g158601-PA	1.4e-246	815.7	ACSS3	GO:0003674,GO:0003824,GO:0003987,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0008150,GO:0008152,GO:0016405,GO:0016874,GO:0016877,GO:0016878,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	K01908		meNOG[21]	0V4QZ@meNOG,12NC2@opiNOG,COG0365@NOG,KOG1175@euNOG	KOG1175|5.53165795702e-207|693.652099609	I	synthetase
SAMEA2622478_784896_6	400682.PAC_15708832	1.8e-267	884.0					meNOG[21]	0VB43@meNOG,12SMQ@opiNOG,COG0441@NOG,KOG1637@euNOG	KOG1637|7.98907966194e-212|709.386291504	J	Threonyl-trna synthetase
SAMEA2620570_2083245_43	35128.Thaps17961	3.6e-38	127.0	TMBIM4	GO:0000139,GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0000902,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005773,GO:0005774,GO:0005783,GO:0005789,GO:0005794,GO:0005795,GO:0006915,GO:0006950,GO:0006984,GO:0006986,GO:0007154,GO:0007165,GO:0007275,GO:0008150,GO:0008219,GO:0009653,GO:0009719,GO:0009725,GO:0009741,GO:0009742,GO:0009755,GO:0009826,GO:0009966,GO:0009987,GO:0010033,GO:0010646,GO:0010941,GO:0012501,GO:0012505,GO:0014070,GO:0016020,GO:0016021,GO:0016043,GO:0016049,GO:0016265,GO:0019722,GO:0019932,GO:0023051,GO:0023052,GO:0030176,GO:0030968,GO:0031090,GO:0031224,GO:0031227,GO:0031300,GO:0031301,GO:0031966,GO:0031967,GO:0031975,GO:0032501,GO:0032502,GO:0032870,GO:0032989,GO:0033554,GO:0033993,GO:0034620,GO:0034976,GO:0035556,GO:0035966,GO:0035967,GO:0040007,GO:0042175,GO:0042221,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043401,GO:0043581,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044431,GO:0044432,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044700,GO:0044707,GO:0044763,GO:0044767,GO:0048519,GO:0048523,GO:0048545,GO:0048583,GO:0048589,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050848,GO:0050896,GO:0051716,GO:0060548,GO:0060560,GO:0065007,GO:0070887,GO:0071310,GO:0071367,GO:0071383,GO:0071396,GO:0071407,GO:0071495,GO:0071840,GO:0097305,GO:0097306,GO:1901700,GO:1901701	K06890		euNOG[57]	COG0670@NOG,KOG2322@euNOG	KOG2322|2.71259753423e-56|195.101791382	T	transmembrane BAX inhibitor
