UniRef90_A0A1Z8LPR2	Root; k__type_1; p__1_1
UniRef90_A0A0S8KIK3	Root; k__helio; p__helio_6
UniRef90_Q1W8T6	Root; k__type_1; p__1_1
UniRef90_A0A166DMR3	Root; k__type_1; p__1_3
UniRef90_A0A1Z8P4Y6	Root; k__type_1; p__1_1
UniRef90_S5G5R3	Root; k__type_1; p__1_1
UniRef90_F2SHC6	Root; k__type_1
UniRef90_A0A1I6FYF6	Root; k__type_1; p__1_1
UniRef90_A7U0U1	Root; k__type_1; p__1_3
UniRef90_A0A0C3SDE3	Root; k__type_1; p__1_3
UniRef90_UPI0009001EAE	Root; k__type_1; p__1_3
UniRef90_A0A2D7U229	Root; k__type_1; p__1_1
UniRef90_A0A0E9NMN4	Root; k__type_1; p__1_3
UniRef90_F6K461	Root; k__type_1; p__1_1
UniRef90_A0A0B4V8L5	Root; k__type_1; p__1_1
UniRef90_UPI0009442622	Root; k__type_1; p__1_3
UniRef90_A0A2D6YF15	Root; k__type_1; p__1_1
UniRef90_A0A2J6PH04	Root; k__type_1; p__1_3
UniRef90_M5FX62	Root; k__type_1; p__1_3
UniRef90_A0A1Z8Z1V1	Root; k__type_1; p__1_1
UniRef90_A0A1R3VVE3	Root; k__type_1; p__1_1
UniRef90_R4X8C7	Root; k__type_1; p__1_3
UniRef90_A0A2G4I2I7	Root; k__type_1; p__1_1
UniRef90_Q0V6M3	Root; k__type_1; p__1_3
UniRef90_N1PYR2	Root; k__type_1; p__1_3
UniRef90_Q2QAK9	Root; k__type_1; p__1_1
UniRef90_Q2QAK4	Root; k__type_1; p__1_1
UniRef90_Q2QAK6	Root; k__type_1; p__1_1
UniRef90_Q2QAK7	Root; k__type_1; p__1_1
UniRef90_S8B8F7	Root; k__type_1; p__1_3
UniRef90_S8AP18	Root; k__type_1; p__1_3
UniRef90_A0A2E0BJV1	Root; k__type_1; p__1_1
UniRef90_A0A286GUZ6	Root; k__type_1; p__1_1
UniRef90_A0A075HWM2	Root; k__type_1; p__1_1
UniRef90_A0A1J9PFJ5	Root; k__type_1; p__1_3
UniRef90_UPI00098CF511	Root; k__type_1; p__1_1
UniRef90_A0A1Z9CSK1	Root; k__type_1; p__1_1
UniRef90_UPI000839E96F	Root; k__type_1; p__1_1
UniRef90_A0A2E1W4H2	Root; k__type_1; p__1_1
UniRef90_A0A165U0V7	Root; k__type_1; p__1_3
UniRef90_F6LYN8	Root; k__type_1; p__1_1
UniRef90_A0A1L2YW66	Root; k__type_1; p__1_1
UniRef90_A0A1L2YW65	Root; k__type_1; p__1_1
UniRef90_A0A1L2YW63	Root; k__type_1; p__1_1
UniRef90_A0A2D8CE81	Root; k__type_1; p__1_1
UniRef90_A0A1L2YW60	Root; k__type_1; p__1_1
UniRef90_I9CNA1	Root; k__type_1; p__1_3
UniRef90_A0A2G4FFE0	Root; k__type_1; p__1_1
UniRef90_A0A2E1Z044	Root; k__type_1; p__1_3
UniRef90_A0A0G0GYV3	Root; k__helio; p__helio_5
UniRef90_A0A254WH31	Root; k__type_1
UniRef90_A0A1Y2X2C4	Root; k__type_1; p__1_3
UniRef90_A0A1Y1IBK3	Root; k__type_1; p__1_1
UniRef90_G0YCR1	Root; k__type_1; p__1_1
UniRef90_A0A2E1GTP0	Root; k__type_1; p__1_1
UniRef90_A0A150GD09	Root; k__type_1; p__1_1
UniRef90_A0A257RHP2	Root; k__helio; p__helio_6
UniRef90_A0A2E4HPT1	Root; k__type_1; p__1_1
UniRef90_A0A1C2AXF1	Root; k__type_1; p__1_1
UniRef90_A0A1Z1CBW1	Root; k__type_1; p__1_3
UniRef90_A5KSQ5	Root; k__helio; p__helio_5
UniRef90_A0A1Y2RCZ6	Root; k__type_1; p__1_1
UniRef90_UPI000689B0F6	Root; k__type_1
UniRef90_A0A067PQ92	Root; k__type_1; p__1_3
UniRef90_A0A2E5LMJ5	Root; k__type_1; p__1_1
UniRef90_A0A165T7G8	Root; k__type_1; p__1_3
UniRef90_F9XQI4	Root; k__type_1; p__1_3
UniRef90_A0A2M7X183	Root; k__helio; p__helio_5
UniRef90_G0YCL4	Root; k__type_1; p__1_1
UniRef90_G0YCL2	Root; k__type_1; p__1_1
UniRef90_G0YCL1	Root; k__type_1; p__1_1
UniRef90_A0A0R2PBE5	Root; k__helio; p__helio_4
